"corpus","preloaded/detenten20_rft3"
"subcorpus","-"
"concordance size","1749"
"query","Query:[lc=""kiezdeutsch"" | lemma_lc=""kiezdeutsch"" | ascii=""kiezdeutsch""]"
"Reference","Left","KWIC","Right"
"docplayer.org","unserer Sprache (Nur Kontakt zu anderen Muttersprachlern) - Bildung des Gastarbeiterdeutsch -> Kanak Sprak ->","Kiezdeutsch","</s><s> 5 Aktuelle Sprachkontaktphänomene Kanak Sprak Kiezdeutsch </s><s> 6 Kanak Sprak Medialer Gebrauch zur Reflexion der"
"docplayer.org",") - Bildung des Gastarbeiterdeutsch -> Kanak Sprak -> Kiezdeutsch </s><s> 5 Aktuelle Sprachkontaktphänomene Kanak Sprak","Kiezdeutsch","</s><s> 6 Kanak Sprak Medialer Gebrauch zur Reflexion der Diskriminierungsgedanken der Deutschen, kulturelle"
"docplayer.org","der Andersartigkeit, des Ausländerseins Gleichzeitig: Fun-Code, mediales Türkendeutsch (Canoğlo 2012: 90) </s><s> 7","Kiezdeutsch","Neupositionierung in der Gesellschaft Positive Konnotation Entstehungsorte: urbane Räume des Migrantenalltags ("
"docplayer.org","Identischer Fall im Deutschen: glaubich </s><s> 15 2) Syntaktischer Wandel: Grammatische Reduktion </s><s> 16","Kiezdeutsch",": Adv S V Ø Position am Satzanfang (Vorfeld) freier Ø Begründung der beiden Satzglieder am Anfang:"
"docplayer.org",") freier Ø Begründung der beiden Satzglieder am Anfang: Informationsstruktur des Satzes (kiezdeutsch.de) </s><s> 18","Kiezdeutsch","im Unterricht: Sinnvolles Thema, aufgrund interessanter gramma?scher Merkmale Schülerprojekte zu Kiezdeutsch"
"docplayer.org","<s> 18 Kiezdeutsch im Unterricht: Sinnvolles Thema, aufgrund interessanter gramma?scher Merkmale Schülerprojekte zu","Kiezdeutsch","Beitrag: Sprachförderung Gerade bei hohem Anteil von SuS nicht- deutscher HerkunK </s><s> 19 Warum Kiezdeutsch im"
"docplayer.org","zu Kiezdeutsch Beitrag: Sprachförderung Gerade bei hohem Anteil von SuS nicht- deutscher HerkunK </s><s> 19 Warum","Kiezdeutsch","im Unterricht behandelt werden sollte Geeignetes Untersuchungsprojekt Weckt Interesse am Thema Sprachwandel"
"docplayer.org","o größeres Interesse am Standarddeutschen </s><s> 20 Verwirklichung Wie? </s><s> Untersuchung verschiedener Aspekte von","Kiezdeutsch",": o Wortstellung o Entstehung neuer grammatischer Konstruktionen o Auftreten türkischer und arabischer Wörter"
"docplayer.org","Lebensalter. </s><s> Hrsg.: Annelies Häcki Buhofer. </s><s> Tübungen: A. Francke Verlag. </s><s> Canoğlo, Ha?ce Deniz: Kanak Sprak versus","Kiezdeutsch",". </s><s> Sprachverfall odersprachlicher Spezialfall. </s><s> Berlin: Frank & Timme Dirim, İnci: Zum Gebrauch türkischer Rou?nen"
"docplayer.org","diese Publikation in </s><s> APuZ (Aus Politik und Zeitgeschichte) 8/2010, Themenheft Sprache und Gesellschaft","Kiezdeutsch","ein neuer Dialekt des Deutschen Heike Wiese Etwa seit Mitte der 90er Jahre ist mit Kiezdeutsch eine Jugendsprache </s><s> I."
"docplayer.org","und Gesellschaft Kiezdeutsch ein neuer Dialekt des Deutschen Heike Wiese Etwa seit Mitte der 90er Jahre ist mit","Kiezdeutsch","eine Jugendsprache </s><s> I. Einleitung 1 I.1 Zur Themenstellung 1 I.2 Zum Stand der Forschung und der Fragestellung der"
"docplayer.org","und häufig gehörte Antworten M 3 (Tx) Sprache als </s><s> Thema der Präsentation: Ich frag mein Schwester - Althochdeutsch und","Kiezdeutsch","zur Vermittlung von Sprachwandel im Deutschunterricht Institut für deutsche Sprache und Literatur 1 Kurs:"
"docplayer.org","bei </s><s> Aus- und Fortbildungsmodule zur Sprachvariation im urbanen Raum deutsch- Sprachforschung Seite 1","Kiezdeutsch","Alltagssprache, die unter Jugendlichen im mehrsprachigen Kiez gesprochen wird ( Kiez : Bezeichnung </s><s> Konferenz"
"uni-potsdam.de","Lehrstuhl Praktika für Studierende unterschiedlicher Studiengänge zu Themen Rund um Sprachwissenschaft an, z.B.","Kiezdeutsch",", Sprachverarbeitung, Korpora u.v.m. Bei Interesse schicken Sie uns einfach eine kurze Email! </s><s> Eiche bei Melsungen </s>"
"nachrichtenbrett.de","ins Deutsche übersetzt, ein derber Ausdruck für das Gesäß... </s><s> Wahrscheinlich ist es lediglich einigen eingeweihten ""","Kiezdeutsch","""-Kennern bewußt, daß auch der Kassenschlager ""Fack ju Göhte"" in seinem Titel ein Wortspiel mit ""Goethe"" und ""göt"""
"nachrichtenbrett.de","dpa. Die Professorin für Deutsche Sprache der Gegenwart an der Universität Potsdam erforscht in Berlin","Kiezdeutsch","als neuen deutschen Dialekt, der sich unter Jugendlichen in multiethnischen Wohngebieten entwickelt hat..."
"nachrichtenbrett.de","in denen auch so manche Situation eskalierte... hpd.de 21.11.2012 </s><s> Die Sprachforscherin Heike Wiese behauptet, ""","Kiezdeutsch",""" sei genauso ein Dialekt wie Bairisch und Schwäbisch und betreibt damit Etikettenschwindel: Ein Dialekt ist eine"
"nachrichtenbrett.de",", enthält sogar noch Spuren des indogermanischen Duals. </s><s> Das von Heike Wiese zum deutschen Dialekt erklärte ""","Kiezdeutsch",""" ist jedoch eine Pidgin-Sprache mit Rudimentär-Grammatik und beschränkten Ausdrucksmöglichkeiten, deren Typ"
"nachrichtenbrett.de","Herz legen will – mit hämischer Freude gefördert von ""linksgrün"" bis ""Spiegel"": Der Kiezdeutsch-Test Wie gut ist Ihr","Kiezdeutsch","? </s><s> Sprachbewahrer kämpfen verbissen gegen Kiezdeutsch. </s><s> Der Schulhof-Slang verhunzt unsere Sprache, meinen sie. </s>"
"nachrichtenbrett.de",""" bis ""Spiegel"": Der Kiezdeutsch-Test Wie gut ist Ihr Kiezdeutsch? </s><s> Sprachbewahrer kämpfen verbissen gegen","Kiezdeutsch",". </s><s> Der Schulhof-Slang verhunzt unsere Sprache, meinen sie. </s><s> Alles Quatsch, sagt hingegen die Sprachforscherin Heike"
"nachrichtenbrett.de","verhunzt unsere Sprache, meinen sie. </s><s> Alles Quatsch, sagt hingegen die Sprachforscherin Heike Wiese. </s><s> Denn","Kiezdeutsch","sei genauso ein Dialekt wie Bayerisch und Schwäbisch. </s><s> Könnten Sie auf dem Schulhof mithalten? • Zehn Fragen zum"
"nachrichtenbrett.de",", der eine Lüge über ihn verbreitet hat. </s><s> Der kann das nicht glauben. </s><s> Martin bestätigt: • Wallah – das hat er gesagt! </s><s> In","Kiezdeutsch","ist wallah (aus arabisch bei Allah) ein neues Fremdwort, das eine ähnliche Bedeutung hat wie das jugendsprachliche"
"nachrichtenbrett.de","und will noch in ein Schuhgeschäft gehen. </s><s> Sie erklärt: • Ich such so schwarze Sneakers. ... die Partikel so kann in","Kiezdeutsch","(und auch in anderen Varianten der deutschen Umgangssprache) als Fokusmarker verwendet werden, das heißt, sie"
