"corpus","user/st.schwarz/benjaminfeldkraft"
"vorsokratiker",7
"impuls",7
"verschweigen",7
"anschließen",7
"anstrengung",7
"homunculi",7
"weinen",7
"weisheit",7
"jedesmal",7
"interpretieren",7
"bedürfnis",7
"einhalten",7
"willkommen",7
"jakob",7
"woanders",7
"womöglich",7
"antun",7
"verwandeln",7
"begleichen",7
"zugestehen",7
"zugänglich",7
"zumal",7
"verwirklichen",7
"keuschheit",7
"beherrschen",7
"hölle",7
"äußerung",7
"konsonant",7
"entlang",7
"übung",7
"arbeitend",7
"ei",7
"rausch",7
"landen",7
"berechnen",7
"28",7
"imstande",7
"eingehen",7
"wiedergeben",7
"beschränkung",7
"einsamkeit",7
"gefangen",7
"ataraxie",7
"gelangen|langen",7
"archisch",7
"zweitens",7
"erwartung",7
"jungfrau",7
"zenit",7
