Source,Target,Weight,Type
brentano_die-gruendung-prags-1814,goethe_die-natuerliche-tochter-1803,2,undirected
brentano_die-gruendung-prags-1814,goethe_faust-der-tragoedie-zweiter-teil-1832,96,undirected
brentano_die-gruendung-prags-1814,kleist_die-hermannsschlacht-1808,2,undirected
brentano_die-gruendung-prags-1814,kleist_penthesilea-1808,8,undirected
brentano_die-gruendung-prags-1814,kleist_prinz-friedrich-von-homburg-1810,1,undirected
brentano_die-gruendung-prags-1814,schiller_die-braut-von-messina-1803,9,undirected
brentano_die-gruendung-prags-1814,schiller_die-jungfrau-von-orleans-1801,63,undirected
brentano_die-gruendung-prags-1814,schiller_wilhelm-tell-1804,36,undirected
brentano_die-gruendung-prags-1814,schlegel_alarcos-1802,26,undirected
brentano_die-gruendung-prags-1814,werner_der-vierundzwanzigste-februar-1809,16,undirected
brentano_ponce-de-leon-1803,goethe_der-buergergeneral-1793,4,undirected
brentano_ponce-de-leon-1803,kleist_die-familie-schroffenstein-1803,1,undirected
brentano_ponce-de-leon-1803,schiller_kabale-und-liebe-1784,6,undirected
brentano_ponce-de-leon-1803,tieck_die-verkehrte-welt-1800,24,undirected
brentano_ponce-de-leon-1803,tieck_prinz-zerbino-1799,81,undirected
brentano_ponce-de-leon-1803,tieck_ritter-blaubart-1797,73,undirected
goethe_der-buergergeneral-1793,brentano_ponce-de-leon-1803,4,undirected
goethe_der-buergergeneral-1793,iffland_das-erbtheil-des-vaters-1802,16,undirected
goethe_der-buergergeneral-1793,iffland_der-spieler-1796,5,undirected
goethe_der-buergergeneral-1793,kleist_der-zerbrochene-krug-1808,30,undirected
goethe_der-buergergeneral-1793,kotzebue_der-hyperboreische-esel-1799,9,undirected
goethe_der-buergergeneral-1793,kotzebue_die-deutschen-kleinstaedter-1802,46,undirected
goethe_der-buergergeneral-1793,schiller_wallensteins-lager-1798,11,undirected
goethe_der-buergergeneral-1793,tieck_die-verkehrte-welt-1800,52,undirected
goethe_der-buergergeneral-1793,tieck_prinz-zerbino-1799,14,undirected
goethe_der-buergergeneral-1793,tieck_ritter-blaubart-1797,20,undirected
goethe_der-grosskophta-1791,iffland_das-erbtheil-des-vaters-1802,44,undirected
goethe_der-grosskophta-1791,kotzebue_menschenhass-und-reue-1788,17,undirected
goethe_der-grosskophta-1791,schiller_die-piccolomini-1799,9,undirected
goethe_der-grosskophta-1791,schiller_kabale-und-liebe-1784,63,undirected
goethe_der-grosskophta-1791,tieck_der-gestiefelte-kater-1797,3,undirected
goethe_der-grosskophta-1791,tieck_prinz-zerbino-1799,44,undirected
goethe_die-natuerliche-tochter-1803,brentano_die-gruendung-prags-1814,2,undirected
goethe_die-natuerliche-tochter-1803,goethe_faust-der-tragoedie-zweiter-teil-1832,162,undirected
goethe_die-natuerliche-tochter-1803,goethe_torquato-tasso-1790,131,undirected
goethe_die-natuerliche-tochter-1803,schiller_die-braut-von-messina-1803,24,undirected
goethe_die-natuerliche-tochter-1803,schiller_maria-stuart-1800,4,undirected
goethe_die-natuerliche-tochter-1803,schlegel_alarcos-1802,6,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,brentano_die-gruendung-prags-1814,96,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,goethe_die-natuerliche-tochter-1803,162,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,goethe_torquato-tasso-1790,90,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_die-piccolomini-1799,5,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_wallensteins-lager-1798,2,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_wilhelm-tell-1804,3,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schlegel_alarcos-1802,15,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,tieck_prinz-zerbino-1799,61,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,werner_der-vierundzwanzigste-februar-1809,22,undirected
goethe_torquato-tasso-1790,goethe_die-natuerliche-tochter-1803,131,undirected
goethe_torquato-tasso-1790,goethe_faust-der-tragoedie-zweiter-teil-1832,90,undirected
goethe_torquato-tasso-1790,kleist_die-familie-schroffenstein-1803,6,undirected
goethe_torquato-tasso-1790,schiller_die-piccolomini-1799,11,undirected
goethe_torquato-tasso-1790,schiller_wallensteins-tod-1799,4,undirected
goethe_torquato-tasso-1790,tieck_prinz-zerbino-1799,22,undirected
iffland_das-erbtheil-des-vaters-1802,goethe_der-buergergeneral-1793,16,undirected
iffland_das-erbtheil-des-vaters-1802,goethe_der-grosskophta-1791,44,undirected
iffland_das-erbtheil-des-vaters-1802,iffland_der-spieler-1796,180,undirected
iffland_das-erbtheil-des-vaters-1802,kotzebue_der-hyperboreische-esel-1799,9,undirected
iffland_das-erbtheil-des-vaters-1802,kotzebue_die-deutschen-kleinstaedter-1802,4,undirected
iffland_das-erbtheil-des-vaters-1802,kotzebue_menschenhass-und-reue-1788,90,undirected
iffland_das-erbtheil-des-vaters-1802,schiller_kabale-und-liebe-1784,13,undirected
iffland_das-erbtheil-des-vaters-1802,tieck_die-verkehrte-welt-1800,25,undirected
iffland_das-erbtheil-des-vaters-1802,tieck_prinz-zerbino-1799,2,undirected
iffland_der-spieler-1796,goethe_der-buergergeneral-1793,5,undirected
iffland_der-spieler-1796,iffland_das-erbtheil-des-vaters-1802,180,undirected
iffland_der-spieler-1796,kotzebue_der-hyperboreische-esel-1799,60,undirected
iffland_der-spieler-1796,kotzebue_die-deutschen-kleinstaedter-1802,10,undirected
iffland_der-spieler-1796,kotzebue_menschenhass-und-reue-1788,35,undirected
iffland_der-spieler-1796,schiller_kabale-und-liebe-1784,103,undirected
iffland_der-spieler-1796,tieck_die-verkehrte-welt-1800,3,undirected
