lfd,participant,tnid,gilt,group,itemid,regionid,target,elapsedtime,timeinterval,wds,twdcoef,wdtcoef,proct,string,setname,tag1,tag2,explique
1,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,title,NA,-9,1681,1681,5,"336,2","2,97441998810232",2461,GROUP 1: self paced essai,NA,NA,NA,gilt / 0 = bisher ausgeschlossene fälle
2,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,instruction1,NA,-9,3201,1520,8,190,"5,26315789473684",1391,"press [space] to continue. [leertaste] drücken, um weiter...",NA,NA,NA,target / position of element relative to target element
3,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,instruction2,NA,-9,3817,616,10,"61,6","16,2337662337662",451,"Wenn das X erscheint, drücken Sie bitte jedesmal die Leer...",NA,NA,NA,wds / wortanzahl element
4,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice01,08practice01_fixation,-9,4461,644,1,644,"1,5527950310559",4714,X,NA,NA,NA,timeinterval / lesezeit pro element
5,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice01,08practice01_0,-9,9217,4756,20,"237,8","4,20521446593776",1741,"Sie bekommen im Folgenden ein paar Texte zu sehen. Jedesmal, wenn Sie die Leertaste drücken, wird ein neuer Abschnitt aufgedeckt.",NA,NA,NA,proct / timeinterval/wds*avg wds
6,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice01,08practice01_1,-9,11964,2747,10,"274,7","3,64033491081179",2011," Es ist notwendig, die einzeln erscheinenden Abschnitte aufmerksam zu lesen.",NA,NA,NA,TNid / teilnehmer ID
7,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice02,08practice02_fixation,-9,12524,560,1,560,"1,78571428571429",4099,X,NA,NA,NA,stand: 20210723 (06.30)
8,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice02,08practice02_0,-9,18119,5595,28,"199,821428571429","5,00446827524576",1463,"Es wird keine Bewertung Ihrer Lesezeit vorgenommen, d.h. lassen Sie sich Zeit, die Texte und Fragen genau zu lesen. Tun Sie dies dennoch in der gewohnten Geschwindigkeit.",NA,NA,NA,
9,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice03,08practice03_fixation,-9,18623,504,1,504,"1,98412698412698",3689,X,NA,NA,NA,
10,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice03,08practice03_0,-9,20211,1588,10,"158,8","6,29722921914358",1162,Es geht bei den folgenden Texten nicht um schnelles Lesen.,NA,NA,NA,
11,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice03,08practice03_1,-9,22718,2507,15,"167,133333333333","5,98324690865576",1223," Ihre Lesegeschwindigkeit wird zwar erfasst, hat aber keinen Einflusz auf den weiteren Verlauf des Tests.",NA,NA,NA,
12,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,08practice03,08practice03_2,-9,23721,1003,7,"143,285714285714","6,9790628115653",1049, Sie können den Test auch jederzeit abbrechen.,NA,NA,NA,
13,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,NA,instruction3,NA,-9,24776,1055,2,"527,5","1,8957345971564",3861,Lesen Sie:,NA,NA,NA,
14,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_fixation,-9,25274,498,1,498,"2,00803212851406",3645,X,all,NA,NA,
15,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_0,-9,26744,1470,9,"163,333333333333","6,12244897959184",1196,Helen hatte acht Jahre an der medizinischen Fakultät verbracht,all,NA,NA,
16,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_1,-9,29796,3052,9,"339,111111111111","2,94888597640891",2482,"und weitere vier Jahre mit der Ausbildung zur Herzchirurgin,",all,NA,NA,
17,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_2,-9,30593,797,6,"132,833333333333","7,52823086574655",972, bevor sie ihren ersten Job bekam.,all,NA,NA,
18,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_3,-9,32777,2184,12,182,"5,49450549450549",1332, Trotz dieser langen Zeit hat sie ihre Entscheidungen nie in Frage gestellt.,all,NA,NA,
19,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_4,-9,33800,1023,7,"146,142857142857","6,84261974584555",1070, Schon als Kind wollte sie Ärztin werden.,all,NA,NA,
20,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_5,-9,36108,2308,10,"230,8","4,33275563258232",1689," Am stärksten fühlte Helen sich immer zu Beginn einer Operation,",all,NA,NA,
21,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_6,-9,37241,1133,8,"141,625","7,06090026478376",1037," wenn sie ihr Skalpell nahe am Herzen ansetzte,",all,NA,NA,
22,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc03,09Fillerlc03_7,-9,38717,1476,7,"210,857142857143","4,74254742547425",1543, das Leben ihrer PatientInnen in ihren Händen.,all,NA,NA,
