"";"codes"
"1";"#unclear script#"
"2";"#9nst compar.#"
"3";"#9nst w.o.#"
"4";"#90 subj#"
"5";NA
"6";NA
"7";"#90 art.#"
"8";"#Gestik#"
"9";"#9nst agmt.#"
"10";"#9nst agmt#"
"11";"#(P)#"
"12";"#9nst prep#"
"13";"#9nst prep.#"
"14";"#90 subj#"
"15";"#zeigt auf Besen#"
"16";"#9nst#"
"17";"#90 obj#"
"18";"#90 prep#"
"19";"#90 art#"
"20";"#90 art#"
"21";NA
"22";NA
"23";NA
"24";"#unklar#"
"25";"#9nst verb#"
"26";"#90 verb#"
"27";"#innere Monolog#"
"28";"#90 obj.#"
"29";"#9nst gen#"
"30";"#90 prep #"
"31";"#90 subj"
"32";NA
"33";NA
"34";"#9semantics"
"35";NA
"36";NA
"37";NA
"38";NA
"39";"#? #"
"40";"#9semantics#"
"41";"#zeigt auf ihre Locken#"
"42";"#Pause#"
"43";"#unverstaendlich#"
"44";NA
"45";"#Kopfschuetteln#"
"46";"#9nst w o#"
"47";"# zeigt auf das Richtige#"
"48";NA
"49";"#9nst #"
"50";"# 9nst agmt#"
"51";"# zeigt #"
"52";"#9nst prep #"
"53";"# 9nst prep#"
"54";NA
"55";"#90 aux #"
"56";NA
"57";"# 90 art 90 prep#"
"58";"#90 cop#"
"59";"#9nst existential#"
"60";"#9rel 9nst ext#"
"61";"# 9nst#"
"62";"#9nst art#"
"63";NA
"64";"#9misunderstand#"
"65";NA
"66";NA
"67";NA
"68";"#9nst compar#"
"69";NA
"70";NA
"71";"# ---#"
"72";NA
"73";"#90 refl#"
"74";NA
"75";NA
"76";NA
"77";NA
"78";NA
"79";NA
"80";NA
"81";NA
"82";NA
"83";NA
"84";NA
"85";NA
"86";NA
"87";NA
"88";NA
"89";NA
"90";NA
"91";NA
"92";NA
"93";NA
"94";NA
"95";NA
"96";NA
"97";"#9misunderstands#"
"98";NA
"99";NA
"100";"#9nst i.o.#"
"101";"#9rel#"
"102";"#90 prep.#"
"103";"#9nst rel#"
"104";"#9nst"
"105";NA
"106";NA
"107";NA
"108";NA
"109";NA
"110";NA
"111";NA
"112";NA
"113";NA
"114";NA
"115";NA
"116";NA
"117";NA
"118";NA
"119";NA
"120";"#9nst passive#"
"121";NA
"122";NA
"123";NA
"124";NA
"125";"---#"
"126";NA
"127";NA
"128";NA
"129";NA
"130";NA
"131";"#grrrrrr#"
"132";NA
"133";"unverstaendlich"
"134";NA
"135";NA
"136";"#90 cop?#"
"137";"#90 sub#"
"138";"#check tape#"
"139";"#9 0 art#"
"140";"#lachen#"
"141";"#9…#"
"142";"#9nst passive?#"
"143";"#9 nst gen#"
"144";"#0 art#"
"145";"#9nst pro#"
"146";"#9semantics of viel#"
"147";"#9nst rel?#"
"148";"#90 rel#"
"149";"#9rel?#"
"150";"#9nst w o.#"
"151";"#...#"
"152";"#9 0 art/det#"
"153";"#9 0 subj#"
"154";"#9 0 cop#"
"155";"#9 nst poss#"
"156";"#9 0 existential#"
"157";"#minunderstands ""wann""?#"
"158";"#misunderstands ""welchen""#"
"159";"#9extra art#"
"160";"#9nst w o. #"
"161";"#self-correction#"
"162";"#9nst pers#"
"163";"#90 art?#"
"164";"#9no pl/num#"
"165";"#9nst gen"
"166";"#90 subj"
"167";"# unclear script#"
"168";"#9nst conditional#"
"169";"#script unclear#"
"170";"#Lachen#"
"171";"#9semantics.#"
"172";"#9..#"
"173";"#90 subj?#"
"174";"#9nst poss#"
